Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt2545118,2017-06-22,2017-06-22,,Blackfish,https://www.imdb.com/title/tt2545118/,movie,8.1,83,2013,Documentary,72219,2013-01-19,Gabriela Cowperthwaite
2,tt1587707,2017-07-28,2017-07-28,,Exit Through the Gift Shop,https://www.imdb.com/title/tt1587707/,movie,7.9,87,2010,"Documentary, Comedy, Crime, History",68723,2010-01-24,Banksy
3,tt1152758,2017-06-22,2017-06-22,,Dear Zachary: A Letter to a Son About His Father,https://www.imdb.com/title/tt1152758/,movie,8.5,95,2008,"Documentary, Biography, Crime, Drama",40577,2008-01-31,Kurt Kuenne
4,tt0427312,2017-06-22,2017-06-22,,Grizzly Man,https://www.imdb.com/title/tt0427312/,movie,7.8,103,2005,"Documentary, Biography",61690,2005-01-24,Werner Herzog
5,tt0770802,2022-05-26,2022-05-26,,Samsara,https://www.imdb.com/title/tt0770802/,movie,8.4,102,2011,"Documentary, Music",37982,2011-09-11,Ron Fricke
6,tt5275892,2024-01-31,2024-01-31,,O.J.: Made in America,https://www.imdb.com/title/tt5275892/,movie,8.9,467,2016,"Documentary, Biography, Crime, History",21353,2016-01-22,Ezra Edelman
7,tt7775622,2022-06-26,2022-06-26,,Free Solo,https://www.imdb.com/title/tt7775622/,movie,8.1,100,2018,"Documentary, Adventure, Sport",77061,2018-08-31,"Jimmy Chin, Elizabeth Chai Vasarhelyi"
8,tt2375605,2017-06-22,2017-06-22,,The Act of Killing,https://www.imdb.com/title/tt2375605/,movie,8.2,117,2012,"Documentary, Biography, Crime, History, War",40729,2012-08-31,"Joshua Oppenheimer, Christine Cynn, Anonymous"
9,tt0103767,2024-01-31,2024-01-31,,Baraka,https://www.imdb.com/title/tt0103767/,movie,8.5,96,1992,Documentary,40929,1992-08-30,Ron Fricke
10,tt0110057,2019-08-09,2019-08-09,,Hoop Dreams,https://www.imdb.com/title/tt0110057/,movie,8.3,170,1994,"Documentary, Drama, Sport",27969,1994-01-31,Steve James
11,tt0048434,2019-01-12,2019-01-12,,Nuit et brouillard,https://www.imdb.com/title/tt0048434/,short,8.6,32,1956,"Documentary, Short, History, War",21393,1956-01-31,Alain Resnais
12,tt0117293,2018-05-03,2018-05-03,,Paradise Lost: The Child Murders at Robin Hood Hills,https://www.imdb.com/title/tt0117293/,movie,8.2,150,1996,"Documentary, Crime",18092,1996-01-31,"Joe Berlinger, Bruce Sinofsky"
13,tt1155592,2017-06-23,2017-06-23,,Man on Wire,https://www.imdb.com/title/tt1155592/,movie,7.7,94,2008,"Documentary, Biography, Crime, History, Sport, Thriller",58611,2008-01-22,James Marsh
14,tt0310793,2018-02-01,2018-02-01,,Bowling for Columbine,https://www.imdb.com/title/tt0310793/,movie,8.0,120,2002,"Documentary, Crime, Drama",148592,2002-05-16,Michael Moore
15,tt0096257,2018-02-20,2018-02-20,,The Thin Blue Line,https://www.imdb.com/title/tt0096257/,movie,8.0,101,1988,"Documentary, Crime",25837,1988-04-30,Errol Morris
16,tt1113829,2024-01-31,2024-01-31,,George Harrison: Living in the Material World,https://www.imdb.com/title/tt1113829/,movie,8.1,208,2011,"Documentary, Biography, Music",12601,2011-09-02,Martin Scorsese
17,tt2125608,2022-05-25,2022-05-25,,Searching for Sugar Man,https://www.imdb.com/title/tt2125608/,movie,8.2,86,2012,"Documentary, Biography, Music",72772,2012-01-19,Malik Bendjelloul
18,tt5895028,2020-02-04,2020-02-04,,13th,https://www.imdb.com/title/tt5895028/,movie,8.2,100,2016,"Documentary, Crime, History",37610,2016-09-30,Ava DuVernay
19,tt1645089,2018-10-09,2018-10-09,,Inside Job,https://www.imdb.com/title/tt1645089/,movie,8.2,109,2010,"Documentary, Crime",78843,2010-02-02,Charles Ferguson
20,tt7681902,2022-05-26,2022-05-26,,Won't You Be My Neighbor?,https://www.imdb.com/title/tt7681902/,movie,8.3,95,2018,"Documentary, Biography, History",27070,2018-01-19,Morgan Neville
21,tt1640680,2022-05-26,2022-05-26,,Armadillo,https://www.imdb.com/title/tt1640680/,movie,7.5,105,2010,"Documentary, War",10319,2010-05-16,Janus Metz
22,tt1313104,2018-07-14,2018-07-14,,The Cove,https://www.imdb.com/title/tt1313104/,movie,8.4,92,2009,"Documentary, Biography, Crime, History",51384,2009-04-25,Louie Psihoyos
23,tt7905466,2023-01-13,2023-01-13,,They Shall Not Grow Old,https://www.imdb.com/title/tt7905466/,movie,8.2,99,2018,"Documentary, History, War",38395,2018-10-16,Peter Jackson
24,tt0109508,2024-01-31,2024-01-31,,Crumb,https://www.imdb.com/title/tt0109508/,movie,8.0,119,1994,"Documentary, Biography, Comedy, Drama",21548,1994-09-10,Terry Zwigoff
25,tt8258074,2024-01-31,2024-01-31,,Fantastic Fungi,https://www.imdb.com/title/tt8258074/,movie,7.4,81,2019,Documentary,11473,2019-06-12,Louie Schwartzberg
26,tt0342172,2024-01-31,2024-01-31,,Capturing the Friedmans,https://www.imdb.com/title/tt0342172/,movie,7.6,107,2003,"Documentary, Biography, Crime",27038,2003-01-17,Andrew Jarecki
27,tt5804038,2024-01-31,2024-01-31,,I Am Not Your Negro,https://www.imdb.com/title/tt5804038/,movie,7.9,93,2016,"Documentary, History",23467,2016-09-10,Raoul Peck
28,tt0388789,2017-06-22,2017-06-22,,Born Into Brothels: Calcutta's Red Light Kids,https://www.imdb.com/title/tt0388789/,movie,7.2,85,2004,"Documentary, Biography, News",17989,2004-01-17,"Ross Kauffman, Zana Briski"
29,tt0486358,2017-09-20,2017-09-20,,Jesus Camp,https://www.imdb.com/title/tt0486358/,movie,7.4,84,2006,Documentary,28753,2006-04-27,"Heidi Ewing, Rachel Grady"
30,tt4257858,2017-06-22,2017-06-22,,Going Clear: Scientology and the Prison of Belief,https://www.imdb.com/title/tt4257858/,movie,8.0,119,2015,Documentary,40844,2015-01-25,Alex Gibney
31,tt0814075,2024-01-31,2024-01-31,,Deliver Us from Evil,https://www.imdb.com/title/tt0814075/,movie,7.9,101,2006,"Documentary, Crime",10813,2006-06-24,Amy Berg
32,tt0854678,2024-01-31,2024-01-31,,Taxi to the Dark Side,https://www.imdb.com/title/tt0854678/,movie,7.5,106,2007,"Documentary, Crime, History, War",16783,2007-04-28,Alex Gibney
33,tt0118540,2024-01-31,2024-01-31,,4 Little Girls,https://www.imdb.com/title/tt0118540/,movie,7.8,102,1997,"Documentary, History",3570,1997-07-09,Spike Lee
34,tt4044364,2017-06-22,2017-06-22,,Citizenfour,https://www.imdb.com/title/tt4044364/,movie,8.0,114,2014,"Documentary, Biography",57903,2014-10-10,Laura Poitras
35,tt0083702,2024-01-31,2024-01-31,,Burden of Dreams,https://www.imdb.com/title/tt0083702/,movie,7.9,95,1982,Documentary,8104,1982-03-31,Les Blank
36,tt0841119,2024-01-31,2024-01-31,,Lake of Fire,https://www.imdb.com/title/tt0841119/,movie,8.2,152,2006,Documentary,2729,2006-09-09,Tony Kaye
37,tt1972663,2024-01-31,2024-01-31,,Into the Abyss,https://www.imdb.com/title/tt1972663/,movie,7.3,107,2011,"Documentary, Crime, Drama",17324,2011-09-02,Werner Herzog
38,tt3675568,2024-01-31,2024-01-31,,Merchants of Doubt,https://www.imdb.com/title/tt3675568/,movie,7.6,96,2014,Documentary,3926,2014-08-30,Robert Kenner
