Rank,Movie_name,Year,Certificate,Runtime_in_min,Genre,Rating_from_10
1,The Shawshank Redemption,1994,R,142,Drama,9.3
2,The Godfather,1972,R,175,"Crime, Drama",9.2
3,The Dark Knight,2008,PG-13,152,"Action, Crime, Drama",9
4,The Lord of the Rings: The Return of the King,2003,PG-13,201,"Action, Adventure, Drama",9
5,Schindler's List,1993,R,195,"Biography, Drama, History",9
6,The Godfather Part II,1974,R,202,"Crime, Drama",9
7,12 Angry Men,1957,Approved,96,"Crime, Drama",9
8,777 Charlie,2022,UA,136,"Adventure, Comedy, Drama",8.9
9,Pulp Fiction,1994,R,154,"Crime, Drama",8.9
10,Rocketry: The Nambi Effect,2022,UA,157,"Biography, Drama",8.8
11,Jai Bhim,2021,TV-MA,164,"Crime, Drama, Mystery",8.8
12,Inception,2010,PG-13,148,"Action, Adventure, Sci-Fi",8.8
13,The Lord of the Rings: The Two Towers,2002,PG-13,179,"Action, Adventure, Drama",8.8
14,Fight Club,1999,R,139,Drama,8.8
15,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,"Action, Adventure, Drama",8.8
16,Forrest Gump,1994,PG-13,142,"Drama, Romance",8.8
17,"The Good, the Bad and the Ugly",1966,Approved,178,"Adventure, Western",8.8
18,Soorarai Pottru,2020,TV-MA,153,Drama,8.7
19,The Matrix,1999,R,136,"Action, Sci-Fi",8.7
20,Goodfellas,1990,R,145,"Biography, Crime, Drama",8.7
21,Star Wars: Episode V - The Empire Strikes Back,1980,PG,124,"Action, Adventure, Fantasy",8.7
22,One Flew Over the Cuckoo's Nest,1975,R,133,Drama,8.7
23,Sita Ramam,2022,U,163,"Action, Drama, Mystery",8.6
24,Interstellar,2014,PG-13,169,"Adventure, Drama, Sci-Fi",8.6
25,City of God,2002,R,130,"Crime, Drama",8.6
26,Spirited Away,2001,PG,125,"Animation, Adventure, Family",8.6
27,Saving Private Ryan,1998,R,169,"Drama, War",8.6
28,The Green Mile,1999,R,189,"Crime, Drama, Fantasy",8.6
29,Life Is Beautiful,1997,PG-13,116,"Comedy, Drama, Romance",8.6
30,Se7en,1995,R,127,"Crime, Drama, Mystery",8.6
31,Terminator 2: Judgment Day,1991,R,137,"Action, Sci-Fi",8.6
32,The Silence of the Lambs,1991,R,118,"Crime, Drama, Thriller",8.6
33,Star Wars: Episode IV - A New Hope,1977,PG,121,"Action, Adventure, Fantasy",8.6
34,Harakiri,1962,Not Rated,133,"Action, Drama, Mystery",8.6
35,Seven Samurai,1954,Not Rated,207,"Action, Drama",8.6
