Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1442437,2017-04-24,2017-04-24,,Modern Family,https://www.imdb.com/title/tt1442437/,tvSeries,8.5,22,2009,"Comedy, Drama, Romance",481409,2009-09-23,
2,tt0108778,2017-04-24,2017-04-24,,Friends,https://www.imdb.com/title/tt0108778/,tvSeries,8.9,22,1994,"Comedy, Romance",1084972,1994-09-22,
3,tt0898266,2017-04-24,2017-04-24,,The Big Bang Theory,https://www.imdb.com/title/tt0898266/,tvSeries,8.1,22,2007,"Comedy, Romance",865433,2007-09-24,
4,tt0066626,2017-04-24,2017-04-24,,All in the Family,https://www.imdb.com/title/tt0066626/,tvSeries,8.4,30,1971,"Comedy, Drama",18603,1971-01-12,
5,tt0096697,2017-04-24,2017-04-24,,The Simpsons,https://www.imdb.com/title/tt0096697/,tvSeries,8.7,22,1989,"Animation, Comedy",434822,1989-12-17,
6,tt0460649,2017-04-24,2017-04-24,,How I Met Your Mother,https://www.imdb.com/title/tt0460649/,tvSeries,8.3,4576,2005,"Comedy, Drama, Romance",727092,2005-09-19,
7,tt0106004,2017-04-24,2017-04-24,,Frasier,https://www.imdb.com/title/tt0106004/,tvSeries,8.2,22,1993,Comedy,95202,1993-09-16,
8,tt0068098,2017-04-24,2017-04-24,,M*A*S*H,https://www.imdb.com/title/tt0068098/,tvSeries,8.5,25,1972,"Comedy, Drama, War",63601,1972-09-17,
9,tt0083399,2017-04-24,2017-04-24,,Cheers,https://www.imdb.com/title/tt0083399/,tvSeries,8.0,22,1982,"Comedy, Drama",61834,1982-09-30,
10,tt0367279,2017-04-24,2017-04-24,,Arrested Development,https://www.imdb.com/title/tt0367279/,tvSeries,8.7,22,2003,Comedy,323559,2003-11-02,
11,tt0054533,2017-04-24,2017-04-24,,The Dick Van Dyke Show,https://www.imdb.com/title/tt0054533/,tvSeries,8.4,30,1961,"Comedy, Family",11847,1961-10-03,
12,tt0098904,2017-04-24,2017-04-24,,Seinfeld,https://www.imdb.com/title/tt0098904/,tvSeries,8.9,22,1989,Comedy,350181,1989-07-05,
13,tt0121955,2017-04-24,2017-04-24,,South Park,https://www.imdb.com/title/tt0121955/,tvSeries,8.7,22,1997,"Animation, Comedy",405076,1997-08-13,
14,tt0386676,2017-04-24,2017-04-24,,The Office,https://www.imdb.com/title/tt0386676/,tvSeries,9.0,22,2005,Comedy,707470,2005-03-24,
15,tt0065314,2017-04-24,2017-04-24,,Mary Tyler Moore,https://www.imdb.com/title/tt0065314/,tvSeries,8.3,30,1970,Comedy,10147,1970-09-19,
16,tt0077089,2017-04-24,2017-04-24,,Taxi,https://www.imdb.com/title/tt0077089/,tvSeries,7.7,30,1978,Comedy,15769,1978-09-12,
17,tt0496424,2017-04-24,2017-04-24,,30 Rock,https://www.imdb.com/title/tt0496424/,tvSeries,8.3,22,2006,Comedy,131761,2006-10-11,
18,tt0115167,2017-04-24,2017-04-24,,Everybody Loves Raymond,https://www.imdb.com/title/tt0115167/,tvSeries,7.3,22,1996,Comedy,76993,1996-09-13,
19,tt0182576,2017-04-24,2017-04-24,,Family Guy,https://www.imdb.com/title/tt0182576/,tvSeries,8.1,22,1999,"Animation, Comedy",363313,1999-01-31,
20,tt0149460,2017-04-24,2017-04-24,,Futurama,https://www.imdb.com/title/tt0149460/,tvSeries,8.5,22,1999,"Animation, Adventure, Comedy, Sci-Fi",260344,1999-03-28,
21,tt1759761,2017-04-24,2017-04-24,,Veep,https://www.imdb.com/title/tt1759761/,tvSeries,8.4,28,2012,Comedy,63257,2012-04-22,
22,tt0285403,2017-04-24,2017-04-24,,Scrubs,https://www.imdb.com/title/tt0285403/,tvSeries,8.4,22,2001,"Comedy, Drama",270206,2001-10-01,
23,tt0058805,2017-04-24,2017-04-24,,Get Smart,https://www.imdb.com/title/tt0058805/,tvSeries,8.2,25,1965,"Action, Adventure, Comedy, Crime, Family, Mystery, Sci-Fi",13743,1965-09-18,
24,tt0472954,2017-04-24,2017-04-24,,It's Always Sunny in Philadelphia,https://www.imdb.com/title/tt0472954/,tvSeries,8.8,22,2005,Comedy,251065,2005-08-04,
25,tt1486217,2017-04-24,2017-04-24,,Archer,https://www.imdb.com/title/tt1486217/,tvSeries,8.6,22,2009,"Animation, Action, Comedy",165565,2009-09-17,
26,tt0088526,2017-04-24,2017-04-24,,The Golden Girls,https://www.imdb.com/title/tt0088526/,tvSeries,8.2,30,1985,"Comedy, Drama",47029,1985-09-14,
27,tt1439629,2017-04-24,2017-04-24,,Community,https://www.imdb.com/title/tt1439629/,tvSeries,8.5,22,2009,Comedy,292577,2009-09-16,
28,tt1518542,2017-04-24,2017-04-24,,Sarabhai V/S Sarabhai,https://www.imdb.com/title/tt1518542/,tvSeries,8.9,30,2004,Comedy,18128,2004-11-08,
29,tt1266020,2017-04-24,2017-04-24,,Parks and Recreation,https://www.imdb.com/title/tt1266020/,tvSeries,8.6,22,2009,Comedy,287113,2009-04-09,
30,tt0212671,2017-04-24,2017-04-24,,Malcolm in the Middle,https://www.imdb.com/title/tt0212671/,tvSeries,8.2,22,2000,"Comedy, Family",142160,2000-01-09,
31,tt1492966,2017-04-24,2017-04-24,,Louie,https://www.imdb.com/title/tt1492966/,tvSeries,8.5,22,2010,"Comedy, Drama",82098,2010-06-29,
32,tt0264235,2017-04-24,2017-04-24,,Curb Your Enthusiasm,https://www.imdb.com/title/tt0264235/,tvSeries,8.8,30,2000,Comedy,145175,2000-10-14,
33,tt0043208,2017-04-24,2017-04-24,,I Love Lucy,https://www.imdb.com/title/tt0043208/,tvSeries,8.5,30,1951,"Comedy, Family",28854,1951-10-15,
34,tt0487831,2017-04-24,2017-04-24,,The IT Crowd,https://www.imdb.com/title/tt0487831/,tvSeries,8.5,25,2006,Comedy,163950,2006-02-03,
35,tt2737290,2017-04-24,2017-04-24,,The Millers,https://www.imdb.com/title/tt2737290/,tvSeries,6.0,22,2013,Comedy,5756,2013-10-03,
36,tt0103466,2017-04-24,2017-04-24,,The Larry Sanders Show,https://www.imdb.com/title/tt0103466/,tvSeries,8.5,30,1992,Comedy,9362,1992-08-15,
37,tt0072500,2017-04-24,2017-04-24,,Fawlty Towers,https://www.imdb.com/title/tt0072500/,tvSeries,8.8,30,1975,Comedy,99920,1975-09-19,
38,tt0229889,2017-04-24,2017-04-24,,El Chavo del Ocho,https://www.imdb.com/title/tt0229889/,tvSeries,8.7,30,1972,"Comedy, Family",12654,1972-04-27,
39,tt0081912,2017-04-24,2017-04-24,,Only Fools and Horses,https://www.imdb.com/title/tt0081912/,tvSeries,9.0,95,1981,Comedy,56556,1981-09-08,
40,tt0281491,2017-04-24,2017-04-24,,Still Game,https://www.imdb.com/title/tt0281491/,tvSeries,8.9,29,2002,Comedy,9230,2002-09-06,
41,tt1865718,2017-04-24,2017-04-24,,Gravity Falls,https://www.imdb.com/title/tt1865718/,tvSeries,8.9,23,2012,"Animation, Adventure, Comedy, Family, Fantasy",134459,2012-06-14,
42,tt0115082,2017-04-24,2017-04-24,,3rd Rock from the Sun,https://www.imdb.com/title/tt0115082/,tvSeries,7.8,60,1996,"Comedy, Family, Sci-Fi",55591,1996-01-09,
43,tt0075584,2017-04-24,2017-04-24,,Soap,https://www.imdb.com/title/tt0075584/,tvSeries,8.3,30,1977,"Comedy, Drama, Romance",8242,1977-09-13,
44,tt0075537,2017-04-24,2017-04-24,,Mind Your Language,https://www.imdb.com/title/tt0075537/,tvSeries,8.7,30,1977,Comedy,9698,1977-12-30,
45,tt0863046,2017-04-24,2017-04-24,,Flight of the Conchords,https://www.imdb.com/title/tt0863046/,tvSeries,8.6,28,2007,"Comedy, Music, Musical",65902,2007-06-17,
46,tt0460091,2017-04-24,2017-04-24,,My Name Is Earl,https://www.imdb.com/title/tt0460091/,tvSeries,7.8,22,2005,Comedy,109385,2005-09-20,
47,tt0187664,2017-04-24,2017-04-24,,Spaced,https://www.imdb.com/title/tt0187664/,tvSeries,8.5,25,1999,Comedy,57549,1999-09-24,
48,tt2575988,2017-04-24,2017-04-24,,Silicon Valley,https://www.imdb.com/title/tt2575988/,tvSeries,8.5,30,2014,Comedy,165340,2014-04-06,
49,tt0096657,2017-04-24,2017-04-24,,Mr. Bean,https://www.imdb.com/title/tt0096657/,tvSeries,8.6,25,1990,"Comedy, Family",132857,1990-01-01,
50,tt0369179,2017-04-24,2017-04-24,,Two and a Half Men,https://www.imdb.com/title/tt0369179/,tvSeries,7.1,22,2003,"Comedy, Romance",279993,2003-09-22,
51,tt0459159,2017-04-24,2017-04-24,,The Thick of It,https://www.imdb.com/title/tt0459159/,tvSeries,8.7,30,2005,Comedy,26052,2005-05-19,
52,tt0165598,2017-04-24,2017-04-24,,That '70s Show,https://www.imdb.com/title/tt0165598/,tvSeries,8.1,22,1998,"Comedy, Drama, Romance",189033,1998-08-23,
53,tt0237123,2017-04-24,2017-04-24,,Coupling,https://www.imdb.com/title/tt0237123/,tvSeries,8.6,30,2000,"Comedy, Romance",47619,2000-05-12,
54,tt0387764,2017-04-24,2017-04-24,,Peep Show,https://www.imdb.com/title/tt0387764/,tvSeries,8.7,25,2003,Comedy,66378,2003-09-19,
55,tt1826940,2017-04-24,2017-04-24,,New Girl,https://www.imdb.com/title/tt1826940/,tvSeries,7.8,22,2011,"Comedy, Romance",244932,2011-09-20,
56,tt0111958,2017-04-24,2017-04-24,,Father Ted,https://www.imdb.com/title/tt0111958/,tvSeries,8.7,25,1995,Comedy,43665,1995-04-21,
57,tt2467372,2017-04-24,2017-04-24,,Brooklyn Nine-Nine,https://www.imdb.com/title/tt2467372/,tvSeries,8.4,22,2013,"Comedy, Crime",360782,2013-09-17,
58,tt0080306,2017-04-24,2017-04-24,,Yes Minister,https://www.imdb.com/title/tt0080306/,tvSeries,8.7,30,1980,Comedy,16482,1980-02-25,
59,tt0417373,2017-04-24,2017-04-24,,The Venture Bros.,https://www.imdb.com/title/tt0417373/,tvSeries,8.6,22,2003,"Animation, Action, Adventure, Comedy, Fantasy, Sci-Fi",27996,2003-02-16,
60,tt0042114,2017-04-24,2017-04-24,,The Honeymooners,https://www.imdb.com/title/tt0042114/,tvSeries,8.6,30,1955,"Comedy, Family",6215,1955-10-01,
61,tt0072472,2017-04-24,2017-04-24,,Barney Miller,https://www.imdb.com/title/tt0072472/,tvSeries,8.3,30,1975,"Comedy, Drama",7341,1974-08-22,
62,tt1344204,2017-04-24,2017-04-24,,Blue Mountain State,https://www.imdb.com/title/tt1344204/,tvSeries,8.3,22,2010,"Comedy, Sport",57958,2010-01-11,
63,tt0157246,2017-04-24,2017-04-24,,Will & Grace,https://www.imdb.com/title/tt0157246/,tvSeries,7.4,22,1998,"Comedy, Romance",60173,1998-09-21,
64,tt0094535,2017-04-24,2017-04-24,,Red Dwarf,https://www.imdb.com/title/tt0094535/,tvSeries,8.4,30,1988,"Comedy, Sci-Fi",37215,1988-02-15,
65,tt0092400,2017-04-24,2017-04-24,,Married with Children,https://www.imdb.com/title/tt0092400/,tvSeries,8.1,22,1987,Comedy,110878,1987-04-05,
66,tt0065329,2017-04-24,2017-04-24,,The Odd Couple,https://www.imdb.com/title/tt0065329/,tvSeries,7.9,30,1970,Comedy,7158,1970-09-24,
67,tt4082744,2017-04-24,2017-04-24,,Detectorists,https://www.imdb.com/title/tt4082744/,tvSeries,8.6,30,2014,Comedy,21184,2014-02-10,
68,tt2578560,2017-04-24,2017-04-24,,Broad City,https://www.imdb.com/title/tt2578560/,tvSeries,8.4,22,2014,Comedy,35620,2014-01-22,
69,tt0047763,2017-04-24,2017-04-24,,The Phil Silvers Show,https://www.imdb.com/title/tt0047763/,tvSeries,8.4,30,1955,"Comedy, Family",1733,1955-09-20,
